FIPS,State,"County, State",Year,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,State_count,County,GROC16,GROC20,PCH_GROC_16_20,GROCPTH16,GROCPTH20,PCH_GROCPTH_16_20,GEO_ID,NAME,Total_Households,Total_Below_Poverty,SNAP_Total_Households,SNAP_Below_Poverty,SNAP_Participation_Rate_Pct,No_SNAP_Total_Households,No_SNAP_Below_Poverty_Gap,Name,Median_Household_Income,Median_Income_Lower_Bound,Median_Income_Upper_Bound,mean_commute_time,pct_households_no_vehicle,poverty_rate,total_population,land_area_sqmi,population_density,state_abbr,min_wage_2023,diabetes_rate,obesity_rate,FIPS_match,YEAR,BENE_GEO_DESC,BENE_GEO_CD,BENE_AGE_LVL,BENES_TOTAL_CNT,BENE_AVG_AGE,BENE_AVG_RISK_SCRE,TOT_MDCR_PYMT_PC,TOT_MDCR_STDZD_PYMT_PC
1029,AL,"Cleburne County, Alabama",2023,3.61,22.53,1805000.0,AL,Cleburne,2.0,,,0.1344899535179137,,,1029,"Cleburne County, Alabama",5980,996,867,381,14.5,5113,615,Cleburne County,59526.0,52148.0,66904.0,35.3,0.0563545150501672,13.7,15426,560.105,27.54126458431901,AL,7.25,11.0,36.1,1029,2023,AL-Cleburne,1029.0,All,3762,73,0.99,11478.26,12218.37
1031,AL,"Coffee County, Alabama",2023,3.81,23.81,7272000.0,AL,Coffee,7.0,6.0,-14.28571428571429,0.1365028023719787,0.1127183884382248,-17.42412135169206,1031,"Coffee County, Alabama",20984,3519,2417,1465,11.5,18567,2054,Coffee County,64737.0,59002.0,70472.0,23.0,0.0401734654975219,16.7,54920,678.986,80.88532016860437,AL,7.25,11.3,39.5,1031,2023,AL-Coffee,1031.0,All,11977,72,1.01,10643.97,11603.58
1033,AL,"Colbert County, Alabama",2023,3.67,22.92,7342000.0,AL,Colbert,8.0,8.0,0.0,0.1468347907066344,0.144375666975975,-1.674755498220204,1033,"Colbert County, Alabama",24301,4303,3515,2161,14.5,20786,2142,Colbert County,57770.0,52928.0,62612.0,22.5,0.0457182831982223,17.4,58022,592.953,97.85261226437846,AL,7.25,10.9,39.3,1033,2023,AL-Colbert,1033.0,All,15108,73,0.97,11528.25,12736.37
1035,AL,"Conecuh County, Alabama",2023,3.35,20.93,1517000.0,AL,Conecuh,1.0,3.0,200.0,0.0800320133566856,0.2531431913375853,216.3024153964242,1035,"Conecuh County, Alabama",4417,1047,882,536,20.0,3535,511,Conecuh County,46702.0,43315.0,50089.0,28.3,0.0575050939551732,27.8,11275,850.279,13.260353366365628,AL,7.25,14.8,45.3,1035,2023,AL-Conecuh,1035.0,All,3688,72,0.91,11236.6,11929.47
1037,AL,"Coosa County, Alabama",2023,3.63,22.68,1170000.0,AL,Coosa,1.0,,,0.0924898236989975,,,1037,"Coosa County, Alabama",4418,630,716,267,16.2,3702,363,Coosa County,59736.0,55224.0,64248.0,31.5,0.0602082390221819,13.1,10300,650.909,15.82402455642801,AL,7.25,12.0,39.0,1037,2023,AL-Coosa,1037.0,All,3255,72,1.03,11472.61,12300.83
1039,AL,"Covington County, Alabama",2023,3.42,21.39,4620000.0,AL,Covington,6.0,5.0,-16.66666666666666,0.1604278087615967,0.1353912800550461,-15.60610276972371,1039,"Covington County, Alabama",14642,2937,2082,1232,14.2,12560,1705,Covington County,50119.0,44957.0,55281.0,25.5,0.0624914629149023,19.2,37628,1030.571,36.51179782858241,AL,7.25,11.8,40.2,1039,2023,AL-Covington,1039.0,All,10668,73,1.07,12232.41,13099.32
1041,AL,"Crenshaw County, Alabama",2023,3.8,23.77,1658000.0,AL,Crenshaw,4.0,,,0.2875422239303588,,,1041,"Crenshaw County, Alabama",5233,1157,1087,546,20.8,4146,611,Crenshaw County,49128.0,43260.0,54996.0,31.3,0.0731893751194343,17.9,13122,608.865,21.55157547239536,AL,7.25,12.2,38.2,1041,2023,AL-Crenshaw,1041.0,All,3653,73,0.96,11178.4,11930.32
1043,AL,"Cullman County, Alabama",2023,3.74,23.39,10931000.0,AL,Cullman,15.0,12.0,-20.0,0.1819637566804885,0.1419866234064101,-21.96983289605,1043,"Cullman County, Alabama",35347,5586,3531,2246,10.0,31816,3340,Cullman County,61231.0,54767.0,67695.0,27.0,0.0317707301892664,15.3,90566,734.739,123.26281849745284,AL,7.25,10.3,37.7,1043,2023,AL-Cullman,1043.0,All,21725,73,1.06,12718.99,13269.04
1045,AL,"Dale County, Alabama",2023,3.41,21.34,6305000.0,AL,Dale,6.0,6.0,0.0,0.1212709173560142,0.1225515231490135,1.05598755325631,1045,"Dale County, Alabama",19727,3767,3637,1840,18.4,16090,1927,Dale County,54697.0,50032.0,59362.0,22.5,0.0574846656866223,18.7,49599,561.113,88.39395986191728,AL,7.25,12.3,38.9,1045,2023,AL-Dale,1045.0,All,11706,72,1.02,11404.47,12425.31
1047,AL,"Dallas County, Alabama",2023,3.44,21.52,5358000.0,AL,Dallas,8.0,7.0,-12.5,0.1994763761758804,0.1939165592193604,-2.787205714835095,1047,"Dallas County, Alabama",15947,4686,5765,3198,36.2,10182,1488,Dallas County,39013.0,34241.0,43785.0,26.4,0.1414686147864802,31.0,36858,978.738,37.65869926374576,AL,7.25,16.3,44.6,1047,2023,AL-Dallas,1047.0,All,10139,71,1.14,12041.43,12574.24
1049,AL,"DeKalb County, Alabama",2023,3.43,21.46,8891000.0,AL,DeKalb,16.0,15.0,-6.25,0.2249845266342163,0.2093276381492615,-6.959095685015737,1049,"DeKalb County, Alabama",26181,5508,4627,2466,17.7,21554,3042,DeKalb County,50614.0,44649.0,56579.0,24.8,0.0416714411214239,22.4,72269,777.077,93.00107968708376,AL,7.25,12.5,41.0,1049,2023,AL-DeKalb,1049.0,All,16539,72,0.96,11137.1,11990.12
1051,AL,"Elmore County, Alabama",2023,3.71,23.18,9126000.0,AL,Elmore,8.0,9.0,12.5,0.0984518453478813,0.1095450222492218,11.26761703870816,1051,"Elmore County, Alabama",32856,3510,3465,1326,10.5,29391,2184,Elmore County,73125.0,67020.0,79230.0,27.9,0.0338750913075237,10.3,89526,618.516,144.7432241041461,AL,7.25,10.6,38.8,1051,2023,AL-Elmore,1051.0,All,19812,72,0.95,11251.33,11974.14
1053,AL,"Escambia County, Alabama",2023,3.35,20.93,4602000.0,AL,Escambia,4.0,4.0,0.0,0.1066666692495346,0.1102505475282669,3.359885804953965,1053,"Escambia County, Alabama",12808,2808,1942,1152,15.2,10866,1656,Escambia County,50333.0,45240.0,55426.0,24.6,0.0573079325421611,20.0,36629,945.408,38.74411894124018,AL,7.25,14.3,45.8,1053,2023,AL-Escambia,1053.0,All,9266,73,1.01,13607.57,14471.74
1055,AL,"Etowah County, Alabama",2023,3.64,22.72,12904000.0,AL,Etowah,14.0,12.0,-14.28571428571429,0.1360134482383728,0.1172206997871399,-13.81683112562321,1055,"Etowah County, Alabama",39411,6894,6173,3344,15.7,33238,3550,Etowah County,52504.0,49174.0,55834.0,25.5,0.0439217477354038,16.9,103105,535.105,192.68181011203407,AL,7.25,11.4,39.3,1055,2023,AL-Etowah,1055.0,All,27579,71,1.05,13098.41,14496.42
1057,AL,"Fayette County, Alabama",2023,3.3,20.62,1958000.0,AL,Fayette,4.0,,,0.2412399798631668,,,1057,"Fayette County, Alabama",6255,1306,1124,658,18.0,5131,648,Fayette County,49235.0,43591.0,54879.0,28.6,0.0757793764988009,21.8,16053,627.684,25.574970845202365,AL,7.25,12.2,37.7,1057,2023,AL-Fayette,1057.0,All,4701,72,1.05,12036.31,12734.19
1059,AL,"Franklin County, Alabama",2023,3.23,20.19,3613000.0,AL,Franklin,10.0,8.0,-20.0,0.3157163560390471,0.2539118230342865,-19.57596805567997,1059,"Franklin County, Alabama",11954,2312,2386,1419,20.0,9568,893,Franklin County,49682.0,43562.0,55802.0,26.0,0.0774636105069432,19.1,31966,633.959,50.42281914130094,AL,7.25,12.6,39.1,1059,2023,AL-Franklin,1059.0,All,7047,73,1.01,12637.69,14045.07
1061,AL,"Geneva County, Alabama",2023,3.73,23.29,3737000.0,AL,Geneva,10.0,9.0,-9.999999999999998,0.377401202917099,0.340767115354538,-9.706934498194531,1061,"Geneva County, Alabama",10647,1867,1945,958,18.3,8702,909,Geneva County,50006.0,44378.0,55634.0,26.6,0.0598290598290598,19.2,26887,574.485,46.80191823981479,AL,7.25,12.6,41.6,1061,2023,AL-Geneva,1061.0,All,7343,73,1.01,11318.96,12498.96
1063,AL,"Greene County, Alabama",2023,3.93,24.53,1391000.0,AL,Greene,2.0,,,0.2357100695371628,,,1063,"Greene County, Alabama",3225,1303,1029,716,31.9,2196,587,Greene County,34619.0,30256.0,38982.0,29.4,0.1333333333333333,40.1,7424,647.023,11.474089792789435,AL,7.25,20.3,52.0,1063,2023,AL-Greene,1063.0,All,2395,70,1.11,12111.23,12813.88
1065,AL,"Hale County, Alabama",2023,3.93,24.53,2262000.0,AL,Hale,2.0,,,0.134725496172905,,,1065,"Hale County, Alabama",5642,1548,1568,949,27.8,4074,599,Hale County,42380.0,38849.0,45911.0,30.2,0.1118397731300957,24.6,14829,643.99,23.02675507383655,AL,7.25,15.7,46.1,1065,2023,AL-Hale,1065.0,All,4272,70,1.07,11234.15,11775.91
1067,AL,"Henry County, Alabama",2023,3.73,23.32,2172000.0,AL,Henry,2.0,,,0.117219552397728,,,1067,"Henry County, Alabama",7062,1325,997,569,14.1,6065,756,Henry County,55598.0,49721.0,61475.0,27.6,0.0750495610308694,18.3,17647,561.892,31.40639126380158,AL,7.25,11.8,38.3,1067,2023,AL-Henry,1067.0,All,5341,73,0.99,11746.98,12623.27
1069,AL,"Houston County, Alabama",2023,3.7,23.1,13750000.0,AL,Houston,17.0,17.0,0.0,0.1629054695367813,0.1595045924186707,-2.087638387944235,1069,"Houston County, Alabama",43302,7230,6964,3716,16.1,36338,3514,Houston County,59412.0,56210.0,62614.0,22.1,0.0678028728465197,17.5,108140,579.826,186.504227130208,AL,7.25,11.7,39.6,1069,2023,AL-Houston,1069.0,All,26516,73,1,12463.15,13501.04
1071,AL,"Jackson County, Alabama",2023,3.61,22.53,6936000.0,AL,Jackson,11.0,8.0,-27.27272727272727,0.2113027721643447,0.155092865228653,-26.60159465015135,1071,"Jackson County, Alabama",21795,3937,2690,1410,12.3,19105,2527,Jackson County,51479.0,48245.0,54713.0,27.3,0.0493691213581096,17.3,53053,1078.015,49.213600923920346,AL,7.25,11.6,37.7,1071,2023,AL-Jackson,1071.0,All,14214,73,0.97,11364.02,12178.83
1073,AL,"Jefferson County, Alabama",2023,3.92,24.5,83227000.0,AL,Jefferson,107.0,113.0,5.607476635514019,0.161996766924858,0.1724290549755095,6.439812502857256,1073,"Jefferson County, Alabama",269883,40745,38255,17836,14.2,231628,22909,Jefferson County,64726.0,61862.0,67590.0,24.1,0.0698191438512244,15.7,667755,1111.54,600.7476114219911,AL,7.25,12.6,39.3,1073,2023,AL-Jefferson,1073.0,All,141309,72,1.1,13107.83,13518.31
1075,AL,"Lamar County, Alabama",2023,3.3,20.62,1601000.0,AL,Lamar,4.0,4.0,0.0,0.287232518196106,0.290613204240799,1.176985832218636,1075,"Lamar County, Alabama",5086,1016,1044,572,20.5,4042,444,Lamar County,50929.0,44791.0,57067.0,25.4,0.061148250098309,18.0,13693,604.846,22.63882046008405,AL,7.25,11.5,38.7,1075,2023,AL-Lamar,1075.0,All,3979,72,1,12184.09,12975.83
1077,AL,"Lauderdale County, Alabama",2023,3.54,22.11,10642000.0,AL,Lauderdale,19.0,19.0,0.0,0.205358788371086,0.2034958451986312,-0.907165058399384,1077,"Lauderdale County, Alabama",39258,5034,3925,2143,10.0,35333,2891,Lauderdale County,63895.0,59600.0,68190.0,25.9,0.0507157776758877,12.2,95830,668.018,143.4542182995069,AL,7.25,10.8,38.0,1077,2023,AL-Lauderdale,1077.0,All,24234,73,0.97,11373.94,12348.22
1079,AL,"Lawrence County, Alabama",2023,3.31,20.69,3558000.0,AL,Lawrence,3.0,,,0.0903723314404487,,,1079,"Lawrence County, Alabama",13627,2030,2059,1025,15.1,11568,1005,Lawrence County,61064.0,55014.0,67114.0,30.0,0.0435899317531371,13.3,33276,690.684,48.17832757092969,AL,7.25,11.8,41.3,1079,2023,AL-Lawrence,1079.0,All,8296,73,1.06,11489.57,12490.9
1081,AL,"Lee County, Alabama",2023,4.03,25.2,21774000.0,AL,Lee,18.0,22.0,22.22222222222223,0.1128908842802048,0.1318699717521666,16.81188662217781,1081,"Lee County, Alabama",69436,14171,6949,3677,10.0,62487,10494,Lee County,62301.0,57268.0,67334.0,22.3,0.0475977878910075,18.9,181134,607.545,298.1408784534479,AL,7.25,11.3,38.9,1081,2023,AL-Lee,1081.0,All,29121,72,0.99,10485.82,11046.75
1083,AL,"Limestone County, Alabama",2023,3.94,24.63,11588000.0,AL,Limestone,10.0,8.0,-20.0,0.1076472625136375,0.0782564431428909,-27.3028952938057,1083,"Limestone County, Alabama",40953,4341,3620,1775,8.8,37333,2566,Limestone County,81811.0,77874.0,85748.0,26.3,0.0346006397577711,10.0,111233,563.404,197.43026318591987,AL,7.25,10.5,36.6,1083,2023,AL-Limestone,1083.0,All,21299,73,0.96,11300.66,12085.81
1085,AL,"Lowndes County, Alabama",2023,3.71,23.2,1464000.0,AL,Lowndes,2.0,,,0.195217177271843,,,1085,"Lowndes County, Alabama",4284,1155,1237,767,28.9,3047,388,Lowndes County,42011.0,36781.0,47241.0,31.4,0.088235294117647,29.9,9833,716.085,13.731610074223031,AL,7.25,17.3,47.4,1085,2023,AL-Lowndes,1085.0,All,3178,71,1.03,11801.71,12449.06
1087,AL,"Macon County, Alabama",2023,3.98,24.85,2532000.0,AL,Macon,4.0,3.0,-25.0,0.2096765786409378,0.167644590139389,-20.04610566138947,1087,"Macon County, Alabama",7237,1777,1745,900,24.1,5492,877,Macon County,40710.0,36252.0,45168.0,23.7,0.0953433743263783,24.3,18691,608.665,30.70818923381499,AL,7.25,16.5,47.9,1087,2023,AL-Macon,1087.0,All,4854,71,1.12,10414.66,11147
1089,AL,"Madison County, Alabama",2023,3.75,23.41,40464000.0,AL,Madison,46.0,45.0,-2.173913043478259,0.1288569569587708,0.1185917630791664,-7.966348206475804,1089,"Madison County, Alabama",165031,17538,12536,5804,7.6,152495,11734,Madison County,86172.0,82954.0,89390.0,22.1,0.0395562045918645,10.1,405718,801.602,506.1339667316199,AL,7.25,10.2,41.9,1089,2023,AL-Madison,1089.0,All,77483,74,0.98,11782.61,12533.54
1091,AL,"Marengo County, Alabama",2023,3.49,21.82,2535000.0,AL,Marengo,3.0,4.0,33.33333333333333,0.1535626500844954,0.2135269343852997,39.04874282112851,1091,"Marengo County, Alabama",7898,1972,1863,1095,23.6,6035,877,Marengo County,47228.0,41172.0,53284.0,26.4,0.1020511521904279,21.9,18851,976.898,19.296794547639568,AL,7.25,14.9,47.2,1091,2023,AL-Marengo,1091.0,All,5616,71,1.04,12462.06,13083.67
1093,AL,"Marion County, Alabama",2023,3.3,20.62,3628000.0,AL,Marion,3.0,4.0,33.33333333333333,0.1001401990652083,0.1346665322780609,34.47799538561924,1093,"Marion County, Alabama",10614,2010,1841,1027,17.3,8773,983,Marion County,48829.0,43293.0,54365.0,25.9,0.0416431128697946,16.2,29184,742.342,39.31341618822592,AL,7.25,11.4,39.2,1093,2023,AL-Marion,1093.0,All,7763,73,1.04,12047.91,13038.49
1095,AL,"Marshall County, Alabama",2023,3.46,21.63,11166000.0,AL,Marshall,22.0,23.0,4.5454545454545405,0.2312795072793961,0.2371378540992737,2.533015954933049,1095,"Marshall County, Alabama",36459,5995,4512,2271,12.4,31947,3724,Marshall County,59882.0,55549.0,64215.0,25.5,0.0435557749801146,16.6,99748,565.845,176.28149051418674,AL,7.25,11.3,34.6,1095,2023,AL-Marshall,1095.0,All,22604,73,1.01,11207.4,12238.71
1097,AL,"Mobile County, Alabama",2023,3.64,22.73,47903000.0,AL,Mobile,56.0,60.0,7.14285714285714,0.1348848342895508,0.1453784257173537,7.779667360733056,1097,"Mobile County, Alabama",161665,26891,27937,13540,17.3,133728,13351,Mobile County,55538.0,52899.0,58177.0,26.1,0.0596665945009742,16.2,412590,1229.374,335.60983069432086,AL,7.25,13.5,40.6,1097,2023,AL-Mobile,1097.0,All,92078,72,1.08,13209.87,14043.07
1099,AL,"Monroe County, Alabama",2023,3.4,21.22,2478000.0,AL,Monroe,5.0,5.0,0.0,0.2319862693548203,0.2443912178277969,5.347277020953101,1099,"Monroe County, Alabama",7363,1615,1030,575,14.0,6333,1040,Monroe County,49314.0,43688.0,54940.0,25.5,0.042509846529947,20.1,19388,1025.669,18.902784426554764,AL,7.25,14.7,44.2,1099,2023,AL-Monroe,1099.0,All,5557,72,0.98,11155.73,11614.5
1101,AL,"Montgomery County, Alabama",2023,3.66,22.88,27898000.0,AL,Montgomery,34.0,31.0,-8.823529411764707,0.1495175808668136,0.1379991918802261,-7.7037020795887585,1101,"Montgomery County, Alabama",91381,17792,18479,8754,20.2,72902,9038,Montgomery County,60063.0,56591.0,63535.0,21.6,0.0655497313445902,19.9,226718,785.355,288.68218830974524,AL,7.25,14.5,38.2,1101,2023,AL-Montgomery,1101.0,All,47047,72,0.99,10568.23,11213.03
1103,AL,"Morgan County, Alabama",2023,3.63,22.69,14076000.0,AL,Morgan,18.0,13.0,-27.77777777777777,0.151146188378334,0.1084390580654144,-28.25551260744955,1103,"Morgan County, Alabama",49040,6729,6004,3085,12.2,43036,3644,Morgan County,70387.0,64678.0,76096.0,24.9,0.0475734094616639,13.5,124471,579.669,214.7277152995934,AL,7.25,11.4,42.7,1103,2023,AL-Morgan,1103.0,All,28249,73,1.01,11726,12690.02
1105,AL,"Perry County, Alabama",2023,3.49,21.82,1251000.0,AL,Perry,3.0,,,0.3145313560962677,,,1105,"Perry County, Alabama",3440,830,1151,691,33.5,2289,139,Perry County,34176.0,29744.0,38608.0,28.0,0.0796511627906976,31.4,8031,719.67,11.159281337279587,AL,7.25,19.4,52.5,1105,2023,AL-Perry,1105.0,All,2690,71,1.19,10448.01,11012.13
1107,AL,"Pickens County, Alabama",2023,3.7,23.12,2672000.0,AL,Pickens,5.0,4.0,-20.0,0.245857298374176,0.2020916491746901,-17.80124059318256,1107,"Pickens County, Alabama",6764,1346,1253,805,18.5,5511,541,Pickens County,47372.0,41270.0,53474.0,32.6,0.0711117681845062,20.0,18721,881.408,21.23987982863781,AL,7.25,14.2,44.9,1107,2023,AL-Pickens,1107.0,All,5141,72,1.07,11073.98,11706.63
1109,AL,"Pike County, Alabama",2023,3.8,23.77,4262000.0,AL,Pike,7.0,6.0,-14.28571428571429,0.2087060213088989,0.1820057034492493,-12.79326666868484,1109,"Pike County, Alabama",12484,2785,2135,1062,17.1,10349,1723,Pike County,50675.0,45473.0,55877.0,20.3,0.0574335148990708,23.3,32987,672.067,49.08290393666108,AL,7.25,13.5,41.5,1109,2023,AL-Pike,1109.0,All,7018,72,1.04,11394.35,12331.93
1111,AL,"Randolph County, Alabama",2023,3.41,21.31,2618000.0,AL,Randolph,3.0,,,0.1332444995641708,,,1111,"Randolph County, Alabama",9271,2058,1741,834,18.8,7530,1224,Randolph County,57148.0,52026.0,62270.0,28.9,0.0442239240642864,19.9,22510,580.55,38.773576780639054,AL,7.25,12.0,40.1,1111,2023,AL-Randolph,1111.0,All,6470,72,0.96,11757.35,12513.95
1113,AL,"Russell County, Alabama",2023,3.54,22.1,7891000.0,AL,Russell,12.0,10.0,-16.66666666666666,0.2058672159910202,0.1717121452093124,-16.590825604402,1113,"Russell County, Alabama",23938,4820,4814,2338,20.1,19124,2482,Russell County,52312.0,48106.0,56518.0,26.3,0.0802907511070264,22.2,58811,641.182,91.72278697780035,AL,7.25,14.2,43.8,1113,2023,AL-Russell,1113.0,All,12461,70,1.05,11250.38,11794.75
1115,AL,"St. Clair County, Alabama",2023,3.77,23.53,9906000.0,AL,St. Clair,14.0,12.0,-14.28571428571429,0.1602894365787506,0.1322474330663681,-17.49460482918685,1115,"St. Clair County, Alabama",35107,3800,3851,1791,11.0,31256,2009,St. Clair County,78349.0,72699.0,83999.0,30.7,0.0301934087219073,11.4,94166,631.57,149.0982788922843,AL,7.25,10.4,39.2,1115,2023,AL-St. Clair,1115.0,All,21280,72,1.2,12618.07,13267.78
