GEO_ID,NAME,Total_Households,Total_Below_Poverty,SNAP_Total_Households,SNAP_Below_Poverty,SNAP_Participation_Rate_Pct,No_SNAP_Total_Households,No_SNAP_Below_Poverty_Gap
01113,"Russell County, Alabama",23938,4820,4814,2338,20.1,19124,2482
01115,"St. Clair County, Alabama",35107,3800,3851,1791,11.0,31256,2009
01117,"Shelby County, Alabama",86866,7049,4014,1585,4.6,82852,5464
01119,"Sumter County, Alabama",4823,1430,1471,818,30.5,3352,612
01121,"Talladega County, Alabama",33644,6332,5717,2963,17.0,27927,3369
01123,"Tallapoosa County, Alabama",17076,2894,2264,1254,13.3,14812,1640
01125,"Tuscaloosa County, Alabama",90052,15551,9798,4951,10.9,80254,10600
01127,"Walker County, Alabama",25388,4974,3632,2304,14.3,21756,2670
01129,"Washington County, Alabama",5963,1344,821,587,13.8,5142,757
01131,"Wilcox County, Alabama",3860,1161,1427,776,37.0,2433,385
01133,"Winston County, Alabama",9420,1711,1377,791,14.6,8043,920
02013,"Aleutians East Borough, Alaska",1045,132,152,55,14.5,893,77
02016,"Aleutians West Census Area, Alaska",956,51,46,21,4.8,910,30
02020,"Anchorage Municipality, Alaska",108597,8900,9473,3603,8.7,99124,5297
02050,"Bethel Census Area, Alaska",4828,1106,2047,831,42.4,2781,275
02060,"Bristol Bay Borough, Alaska",291,23,15,4,5.2,276,19
02063,"Chugach Census Area, Alaska",2861,152,281,46,9.8,2580,106
02066,"Copper River Census Area, Alaska",1207,126,155,27,12.8,1052,99
02068,"Denali Borough, Alaska",565,56,17,10,3.0,548,46
02070,"Dillingham Census Area, Alaska",1403,266,391,187,27.9,1012,79
02090,"Fairbanks North Star Borough, Alaska",36359,2586,2467,743,6.8,33892,1843
02100,"Haines Borough, Alaska",901,57,42,12,4.7,859,45
02105,"Hoonah-Angoon Census Area, Alaska",924,138,154,51,16.7,770,87
02110,"Juneau City and Borough, Alaska",13167,963,840,249,6.4,12327,714
02122,"Kenai Peninsula Borough, Alaska",24371,2760,2329,914,9.6,22042,1846
02130,"Ketchikan Gateway Borough, Alaska",5732,471,477,144,8.3,5255,327
02150,"Kodiak Island Borough, Alaska",4640,591,267,119,5.8,4373,472
02158,"Kusilvak Census Area, Alaska",1916,656,984,519,51.4,932,137
02164,"Lake and Peninsula Borough, Alaska",324,59,95,33,29.3,229,26
02170,"Matanuska-Susitna Borough, Alaska",39869,4026,3741,1314,9.4,36128,2712
02180,"Nome Census Area, Alaska",2816,540,828,315,29.4,1988,225
02185,"North Slope Borough, Alaska",2281,361,320,119,14.0,1961,242
02188,"Northwest Arctic Borough, Alaska",1825,275,654,184,35.8,1171,91
02195,"Petersburg Borough, Alaska",1371,87,104,37,7.6,1267,50
02198,"Prince of Wales-Hyder Census Area, Alaska",2419,283,396,92,16.4,2023,191
02220,"Sitka City and Borough, Alaska",3440,246,258,110,7.5,3182,136
02230,"Skagway Municipality, Alaska",450,16,12,2,2.7,438,14
02240,"Southeast Fairbanks Census Area, Alaska",2497,306,214,117,8.6,2283,189
02275,"Wrangell City and Borough, Alaska",976,106,83,37,8.5,893,69
02282,"Yakutat City and Borough, Alaska",206,8,11,2,5.3,195,6
02290,"Yukon-Koyukuk Census Area, Alaska",2296,363,514,188,22.4,1782,175
04001,"Apache County, Arizona",21100,6684,6428,3682,30.5,14672,3002
04003,"Cochise County, Arizona",50982,8177,7575,3537,14.9,43407,4640
04005,"Coconino County, Arizona",55118,9524,5857,2382,10.6,49261,7142
04007,"Gila County, Arizona",23645,3678,3455,1466,14.6,20190,2212
04009,"Graham County, Arizona",12746,2177,2073,927,16.3,10673,1250
04011,"Greenlee County, Arizona",3591,279,205,90,5.7,3386,189
04012,"La Paz County, Arizona",8959,1678,1036,391,11.6,7923,1287
04013,"Maricopa County, Arizona",1730696,178458,148499,50414,8.6,1582197,128044
04015,"Mohave County, Arizona",101973,16205,13386,5588,13.1,88587,10617
04017,"Navajo County, Arizona",40063,9575,8879,4867,22.2,31184,4708
04019,"Pima County, Arizona",437827,60186,53119,22763,12.1,384708,37423
04021,"Pinal County, Arizona",161917,17718,17512,6055,10.8,144405,11663
04023,"Santa Cruz County, Arizona",16966,3260,4056,1778,23.9,12910,1482
04025,"Yavapai County, Arizona",111157,13478,9130,3157,8.2,102027,10321
04027,"Yuma County, Arizona",79341,12517,14530,5498,18.3,64811,7019
05001,"Arkansas County, Arkansas",6705,1211,996,643,14.9,5709,568
05003,"Ashley County, Arkansas",7356,1627,969,562,13.2,6387,1065
05005,"Baxter County, Arkansas",19348,2975,1647,915,8.5,17701,2060
05007,"Benton County, Arkansas",111919,8554,4337,1964,3.9,107582,6590
05009,"Boone County, Arkansas",15363,2090,1285,606,8.4,14078,1484
05011,"Bradley County, Arkansas",3752,980,656,383,17.5,3096,597
05013,"Calhoun County, Arkansas",1690,208,136,76,8.0,1554,132
05015,"Carroll County, Arkansas",11347,2035,590,352,5.2,10757,1683
05017,"Chicot County, Arkansas",3965,1021,664,464,16.7,3301,557
05019,"Clark County, Arkansas",8121,1846,950,553,11.7,7171,1293
05021,"Clay County, Arkansas",6021,1032,607,396,10.1,5414,636
05023,"Cleburne County, Arkansas",10522,1571,903,511,8.6,9619,1060
05025,"Cleveland County, Arkansas",2931,467,383,177,13.1,2548,290
05027,"Columbia County, Arkansas",8409,1807,993,581,11.8,7416,1226
05029,"Conway County, Arkansas",8279,1750,1122,666,13.6,7157,1084
05031,"Craighead County, Arkansas",44437,8297,5240,3439,11.8,39197,4858
05033,"Crawford County, Arkansas",23357,3100,2391,1159,10.2,20966,1941
05035,"Crittenden County, Arkansas",18203,3587,2924,1615,16.1,15279,1972
05037,"Cross County, Arkansas",6483,1403,668,450,10.3,5815,953
05039,"Dallas County, Arkansas",2558,509,382,164,14.9,2176,345
05041,"Desha County, Arkansas",4610,1271,1073,631,23.3,3537,640
05043,"Drew County, Arkansas",7196,1497,1179,551,16.4,6017,946
05045,"Faulkner County, Arkansas",49309,7390,3499,1904,7.1,45810,5486
05047,"Franklin County, Arkansas",7048,1343,786,454,11.2,6262,889
05049,"Fulton County, Arkansas",4757,945,609,358,12.8,4148,587
05051,"Garland County, Arkansas",43667,6855,3945,2124,9.0,39722,4731
05053,"Grant County, Arkansas",6978,869,501,273,7.2,6477,596
05055,"Greene County, Arkansas",17994,3081,2625,1414,14.6,15369,1667
05057,"Hempstead County, Arkansas",7479,1548,767,533,10.3,6712,1015
05059,"Hot Spring County, Arkansas",12310,2109,1326,625,10.8,10984,1484
05061,"Howard County, Arkansas",5098,1139,501,379,9.8,4597,760
05063,"Independence County, Arkansas",14638,2923,2001,1285,13.7,12637,1638
05065,"Izard County, Arkansas",5232,1048,756,419,14.4,4476,629
05067,"Jackson County, Arkansas",6076,1348,1174,687,19.3,4902,661
05069,"Jefferson County, Arkansas",24017,4589,3534,1691,14.7,20483,2898
05071,"Johnson County, Arkansas",10316,2229,1240,810,12.0,9076,1419
05073,"Lafayette County, Arkansas",2622,651,390,230,14.9,2232,421
05075,"Lawrence County, Arkansas",6613,1406,1061,662,16.0,5552,744
05077,"Lee County, Arkansas",2690,926,748,559,27.8,1942,367
05079,"Lincoln County, Arkansas",3592,680,458,240,12.8,3134,440
05081,"Little River County, Arkansas",4820,851,537,296,11.1,4283,555
05083,"Logan County, Arkansas",8521,1160,840,396,9.9,7681,764
05085,"Lonoke County, Arkansas",28554,2897,2037,1101,7.1,26517,1796
05087,"Madison County, Arkansas",6463,796,747,265,11.6,5716,531
05089,"Marion County, Arkansas",7664,1257,851,467,11.1,6813,790
05091,"Miller County, Arkansas",16359,3856,2563,1590,15.7,13796,2266
05093,"Mississippi County, Arkansas",15452,3496,2953,1687,19.1,12499,1809
05095,"Monroe County, Arkansas",2790,622,450,291,16.1,2340,331
05097,"Montgomery County, Arkansas",3715,892,373,162,10.0,3342,730
05099,"Nevada County, Arkansas",3251,536,327,133,10.1,2924,403
05101,"Newton County, Arkansas",3179,499,353,176,11.1,2826,323
05103,"Ouachita County, Arkansas",8624,1616,1279,828,14.8,7345,788
05105,"Perry County, Arkansas",4094,661,355,134,8.7,3739,527
05107,"Phillips County, Arkansas",6023,1811,1934,1031,32.1,4089,780
05109,"Pike County, Arkansas",4082,970,505,371,12.4,3577,599
05111,"Poinsett County, Arkansas",8792,1927,1686,931,19.2,7106,996
05113,"Polk County, Arkansas",7898,1331,991,401,12.5,6907,930
05115,"Pope County, Arkansas",24348,4090,2411,1157,9.9,21937,2933
05117,"Prairie County, Arkansas",3256,451,439,169,13.5,2817,282
05119,"Pulaski County, Arkansas",172409,27958,17233,9566,10.0,155176,18392
05121,"Randolph County, Arkansas",7334,1629,1150,757,15.7,6184,872
05123,"St. Francis County, Arkansas",7783,2176,1888,1196,24.3,5895,980
05125,"Saline County, Arkansas",50203,4552,1974,771,3.9,48229,3781
05127,"Scott County, Arkansas",3985,887,501,265,12.6,3484,622
05129,"Searcy County, Arkansas",3197,773,402,242,12.6,2795,531
05131,"Sebastian County, Arkansas",52181,8722,6031,2832,11.6,46150,5890
05133,"Sevier County, Arkansas",5622,1042,1211,524,21.5,4411,518
05135,"Sharp County, Arkansas",6856,1332,1189,622,17.3,5667,710
05137,"Stone County, Arkansas",5262,1115,939,588,17.8,4323,527
05139,"Union County, Arkansas",15002,2814,1414,727,9.4,13588,2087
05141,"Van Buren County, Arkansas",7432,1414,795,452,10.7,6637,962
05143,"Washington County, Arkansas",97184,13390,5413,2507,5.6,91771,10883
05145,"White County, Arkansas",29629,5159,3417,1732,11.5,26212,3427
05147,"Woodruff County, Arkansas",2692,774,535,425,19.9,2157,349
05149,"Yell County, Arkansas",8323,1350,853,379,10.2,7470,971
06001,"Alameda County, California",598246,58251,59416,21492,9.9,538830,36759
06003,"Alpine County, California",435,40,42,10,9.7,393,30
06005,"Amador County, California",16091,1806,1575,675,9.8,14516,1131
06007,"Butte County, California",83312,15142,13346,6126,16.0,69966,9016
06009,"Calaveras County, California",18437,2170,1760,652,9.5,16677,1518
06011,"Colusa County, California",7512,1089,1229,515,16.4,6283,574
06013,"Contra Costa County, California",414417,34626,35128,10656,8.5,379289,23970
06015,"Del Norte County, California",9522,1310,2171,541,22.8,7351,769
06017,"El Dorado County, California",76185,6292,4965,1307,6.5,71220,4985
06019,"Fresno County, California",324702,57069,70903,28703,21.8,253799,28366
06021,"Glenn County, California",9810,1458,1440,584,14.7,8370,874
06023,"Humboldt County, California",54922,10261,11540,4891,21.0,43382,5370
06025,"Imperial County, California",49644,9862,14225,5466,28.7,35419,4396
06027,"Inyo County, California",8040,1095,686,374,8.5,7354,721
06029,"Kern County, California",284931,51370,57456,24520,20.2,227475,26850
06031,"Kings County, California",44052,6729,8805,3234,20.0,35247,3495
06033,"Lake County, California",26940,4583,6553,2587,24.3,20387,1996
06035,"Lassen County, California",9247,1278,1239,473,13.4,8008,805
06037,"Los Angeles County, California",3416449,477681,493104,179729,14.4,2923345,297952
06039,"Madera County, California",45379,7752,9864,3867,21.7,35515,3885
06041,"Marin County, California",103018,7806,5615,2151,5.5,97403,5655
06043,"Mariposa County, California",7508,985,1003,409,13.4,6505,576
06045,"Mendocino County, California",34842,5437,6072,2307,17.4,28770,3130
06047,"Merced County, California",86055,16320,18102,7806,21.0,67953,8514
06049,"Modoc County, California",3267,459,456,186,14.0,2811,273
06051,"Mono County, California",5744,373,266,126,4.6,5478,247
06053,"Monterey County, California",132489,15708,12764,4114,9.6,119725,11594
06055,"Napa County, California",49763,4100,3425,1012,6.9,46338,3088
06057,"Nevada County, California",42865,5198,3454,1271,8.1,39411,3927
06059,"Orange County, California",1082960,105401,91924,27033,8.5,991036,78368
06061,"Placer County, California",157954,11831,9051,2644,5.7,148903,9187
06063,"Plumas County, California",8054,835,1085,417,13.5,6969,418
06065,"Riverside County, California",775335,84094,97172,27204,12.5,678163,56890
06067,"Sacramento County, California",571057,68493,81145,29623,14.2,489912,38870
06069,"San Benito County, California",20561,1581,2169,476,10.5,18392,1105
06071,"San Bernardino County, California",674915,89620,106798,36337,15.8,568117,53283
06073,"San Diego County, California",1171278,115837,116541,38331,9.9,1054737,77506
06075,"San Francisco County, California",363970,42654,41556,18472,11.4,322414,24182
06077,"San Joaquin County, California",245250,30081,38226,12436,15.6,207024,17645
06079,"San Luis Obispo County, California",109503,13169,8972,3095,8.2,100531,10074
06081,"San Mateo County, California",264419,17036,13399,3379,5.1,251020,13657
06083,"Santa Barbara County, California",149608,19709,16287,6460,10.9,133321,13249
06085,"Santa Clara County, California",659353,47303,43418,12751,6.6,615935,34552
06087,"Santa Cruz County, California",96898,10854,9588,3503,9.9,87310,7351
06089,"Shasta County, California",71232,9766,9569,4060,13.4,61663,5706
06091,"Sierra County, California",1219,84,119,4,9.8,1100,80
06093,"Siskiyou County, California",19079,3319,2953,1339,15.5,16126,1980
06095,"Solano County, California",157512,16277,17882,6092,11.4,139630,10185
06097,"Sonoma County, California",190998,17032,15299,5126,8.0,175699,11906
06099,"Stanislaus County, California",177874,24248,27603,9807,15.5,150271,14441
06101,"Sutter County, California",33292,4944,4385,1472,13.2,28907,3472
06103,"Tehama County, California",24788,3950,3457,1544,13.9,21331,2406
06105,"Trinity County, California",5585,1015,619,291,11.1,4966,724
06107,"Tulare County, California",143195,23265,34511,12576,24.1,108684,10689
06109,"Tuolumne County, California",22690,2259,2662,939,11.7,20028,1320
06111,"Ventura County, California",280360,25225,23939,6839,8.5,256421,18386
06113,"Yolo County, California",76693,12797,10072,4184,13.1,66621,8613
06115,"Yuba County, California",28635,3819,5516,1811,19.3,23119,2008
08001,"Adams County, Colorado",188730,18306,19524,6350,10.3,169206,11956
08003,"Alamosa County, Colorado",6648,1280,1900,801,28.6,4748,479
08005,"Arapahoe County, Colorado",257232,20788,19911,6968,7.7,237321,13820
08007,"Archuleta County, Colorado",5921,510,409,105,6.9,5512,405
08009,"Baca County, Colorado",1657,432,353,256,21.3,1304,176
08011,"Bent County, Colorado",1875,516,402,268,21.4,1473,248
08013,"Boulder County, Colorado",137008,15787,8034,2916,5.9,128974,12871
08014,"Broomfield County, Colorado",31760,1908,1212,344,3.8,30548,1564
08015,"Chaffee County, Colorado",9863,1080,695,306,7.0,9168,774
08017,"Cheyenne County, Colorado",785,64,69,23,8.8,716,41
08019,"Clear Creek County, Colorado",4677,312,281,99,6.0,4396,213
08021,"Conejos County, Colorado",3164,461,514,251,16.2,2650,210
08023,"Costilla County, Colorado",1651,498,481,261,29.1,1170,237
08025,"Crowley County, Colorado",1337,314,300,193,22.4,1037,121
08027,"Custer County, Colorado",2672,326,204,98,7.6,2468,228
08029,"Delta County, Colorado",12959,1907,1467,626,11.3,11492,1281
08031,"Denver County, Colorado",335428,36320,29550,12862,8.8,305878,23458
08033,"Dolores County, Colorado",1254,247,93,27,7.4,1161,220
08035,"Douglas County, Colorado",139960,5810,2951,667,2.1,137009,5143
08037,"Eagle County, Colorado",22058,1953,833,273,3.8,21225,1680
08039,"Elbert County, Colorado",10004,572,393,152,3.9,9611,420
08041,"El Paso County, Colorado",290190,24527,26900,9028,9.3,263290,15499
08043,"Fremont County, Colorado",17976,2520,2878,1042,16.0,15098,1478
08045,"Garfield County, Colorado",23404,1963,1868,673,8.0,21536,1290
08047,"Gilpin County, Colorado",3122,277,278,83,8.9,2844,194
08049,"Grand County, Colorado",7475,525,228,40,3.1,7247,485
08051,"Gunnison County, Colorado",8494,889,648,254,7.6,7846,635
08053,"Hinsdale County, Colorado",511,23,63,0,12.3,448,23
08055,"Huerfano County, Colorado",3100,494,589,298,19.0,2511,196
08057,"Jackson County, Colorado",658,103,103,18,15.7,555,85
08059,"Jefferson County, Colorado",241735,16289,13200,4284,5.5,228535,12005
08061,"Kiowa County, Colorado",585,53,92,19,15.7,493,34
08063,"Kit Carson County, Colorado",2896,281,304,99,10.5,2592,182
08065,"Lake County, Colorado",3020,393,231,119,7.6,2789,274
08067,"La Plata County, Colorado",24378,2702,2125,865,8.7,22253,1837
08069,"Larimer County, Colorado",154232,18084,11813,4140,7.7,142419,13944
08071,"Las Animas County, Colorado",6513,1294,1323,630,20.3,5190,664
08073,"Lincoln County, Colorado",1971,307,243,85,12.3,1728,222
08075,"Logan County, Colorado",8203,1267,1478,675,18.0,6725,592
08077,"Mesa County, Colorado",65830,7801,7468,3092,11.3,58362,4709
08079,"Mineral County, Colorado",386,63,30,17,7.8,356,46
08081,"Moffat County, Colorado",5390,524,645,179,12.0,4745,345
08083,"Montezuma County, Colorado",11269,1346,1336,477,11.9,9933,869
08085,"Montrose County, Colorado",18069,2109,2023,730,11.2,16046,1379
08087,"Morgan County, Colorado",11069,1434,1771,811,16.0,9298,623
08089,"Otero County, Colorado",7584,1512,1654,915,21.8,5930,597
08091,"Ouray County, Colorado",2623,142,102,58,3.9,2521,84
08093,"Park County, Colorado",8988,628,334,96,3.7,8654,532
08095,"Phillips County, Colorado",1952,307,220,129,11.3,1732,178
08097,"Pitkin County, Colorado",9215,836,250,123,2.7,8965,713
08099,"Prowers County, Colorado",4733,940,951,450,20.1,3782,490
08101,"Pueblo County, Colorado",68523,10737,13495,5326,19.7,55028,5411
08103,"Rio Blanco County, Colorado",2805,255,388,92,13.8,2417,163
08105,"Rio Grande County, Colorado",5133,976,874,510,17.0,4259,466
08107,"Routt County, Colorado",11281,685,575,143,5.1,10706,542
08109,"Saguache County, Colorado",3397,685,819,423,24.1,2578,262
08111,"San Juan County, Colorado",399,88,34,15,8.5,365,73
08113,"San Miguel County, Colorado",4604,637,167,55,3.6,4437,582
08115,"Sedgwick County, Colorado",1022,176,192,82,18.8,830,94
08117,"Summit County, Colorado",12545,1002,213,58,1.7,12332,944
08119,"Teller County, Colorado",11860,856,1298,360,10.9,10562,496
08121,"Washington County, Colorado",2070,207,230,89,11.1,1840,118
08123,"Weld County, Colorado",124287,11324,11355,3644,9.1,112932,7680
08125,"Yuma County, Colorado",4078,731,541,349,13.3,3537,382
09110,"Capitol Planning Region, Connecticut",391113,44070,51086,22152,13.1,340027,21918
09120,"Greater Bridgeport Planning Region, Connecticut",119633,15253,16948,7368,14.2,102685,7885
09130,"Lower Connecticut River Valley Planning Region, Connecticut",74068,5641,5027,1874,6.8,69041,3767
09140,"Naugatuck Valley Planning Region, Connecticut",180116,21572,26133,10766,14.5,153983,10806
09150,"Northeastern Connecticut Planning Region, Connecticut",39412,3283,4293,1389,10.9,35119,1894
09160,"Northwest Hills Planning Region, Connecticut",47845,4415,4105,1753,8.6,43740,2662
09170,"South Central Connecticut Planning Region, Connecticut",230673,27409,31116,12476,13.5,199557,14933
09180,"Southeastern Connecticut Planning Region, Connecticut",115768,12346,14409,6042,12.4,101359,6304
09190,"Western Connecticut Planning Region, Connecticut",235379,18709,16363,6380,7.0,219016,12329
10001,"Kent County, Delaware",71424,7538,9815,3602,13.7,61609,3936
10003,"New Castle County, Delaware",224173,22414,22077,7637,9.8,202096,14777
10005,"Sussex County, Delaware",106441,10889,11267,4401,10.6,95174,6488
11001,"District of Columbia, District of Columbia",324491,44143,46408,22776,14.3,278083,21367
12001,"Alachua County, Florida",116786,23971,10714,4880,9.2,106072,19091
12003,"Baker County, Florida",9165,1145,1535,663,16.7,7630,482
12005,"Bay County, Florida",78778,8984,9924,3709,12.6,68854,5275
12007,"Bradford County, Florida",9278,1708,1603,861,17.3,7675,847
12009,"Brevard County, Florida",257695,25572,24283,8340,9.4,233412,17232
12011,"Broward County, Florida",753956,97944,99630,33704,13.2,654326,64240
12013,"Calhoun County, Florida",4636,944,929,465,20.0,3707,479
12015,"Charlotte County, Florida",90542,8600,6585,2095,7.3,83957,6505
12017,"Citrus County, Florida",71291,11149,8574,3690,12.0,62717,7459
12019,"Clay County, Florida",83707,7505,7240,2231,8.6,76467,5274
12021,"Collier County, Florida",165875,16276,9273,2840,5.6,156602,13436
12023,"Columbia County, Florida",27430,4503,5611,2370,20.5,21819,2133
12027,"DeSoto County, Florida",12824,2882,2870,1310,22.4,9954,1572
12029,"Dixie County, Florida",6236,1250,1075,526,17.2,5161,724
12031,"Duval County, Florida",415128,57149,59377,24199,14.3,355751,32950
12033,"Escambia County, Florida",129027,18366,19304,7950,15.0,109723,10416
12035,"Flagler County, Florida",52582,5122,3987,1369,7.6,48595,3753
12037,"Franklin County, Florida",4949,826,707,384,14.3,4242,442
12039,"Gadsden County, Florida",16872,3882,4340,2542,25.7,12532,1340
12041,"Gilchrist County, Florida",7151,992,1223,580,17.1,5928,412
12043,"Glades County, Florida",4500,758,734,339,16.3,3766,419
12045,"Gulf County, Florida",5944,773,714,248,12.0,5230,525
12047,"Hamilton County, Florida",4281,984,1225,501,28.6,3056,483
12049,"Hardee County, Florida",8219,1998,2048,1201,24.9,6171,797
12051,"Hendry County, Florida",14130,2956,2575,1314,18.2,11555,1642
12053,"Hernando County, Florida",82475,10266,10208,3335,12.4,72267,6931
12055,"Highlands County, Florida",46879,7854,7346,3063,15.7,39533,4791
12057,"Hillsborough County, Florida",583192,74887,77704,29390,13.3,505488,45497
12059,"Holmes County, Florida",7011,1119,1000,436,14.3,6011,683
12061,"Indian River County, Florida",70816,7571,5342,2097,7.5,65474,5474
12063,"Jackson County, Florida",17276,2993,3234,1573,18.7,14042,1420
12065,"Jefferson County, Florida",5751,1214,1184,681,20.6,4567,533
12067,"Lafayette County, Florida",2632,478,437,290,16.6,2195,188
12069,"Lake County, Florida",164497,16026,15818,5321,9.6,148679,10705
12071,"Lee County, Florida",327803,38444,27154,8614,8.3,300649,29830
12073,"Leon County, Florida",122597,22318,14294,6796,11.7,108303,15522
12075,"Levy County, Florida",18562,3189,3201,1518,17.2,15361,1671
12077,"Liberty County, Florida",2563,479,684,323,26.7,1879,156
12079,"Madison County, Florida",6976,1455,1197,625,17.2,5779,830
12081,"Manatee County, Florida",176747,17739,13315,4404,7.5,163432,13335
12083,"Marion County, Florida",164881,23519,21760,8934,13.2,143121,14585
12085,"Martin County, Florida",67801,7096,4446,1534,6.6,63355,5562
12086,"Miami-Dade County, Florida",975411,155575,222489,77858,22.8,752922,77717
12087,"Monroe County, Florida",34405,3488,2573,942,7.5,31832,2546
12089,"Nassau County, Florida",39307,3954,2714,1114,6.9,36593,2840
12091,"Okaloosa County, Florida",85411,7536,6711,2446,7.9,78700,5090
12093,"Okeechobee County, Florida",15113,2590,2483,1019,16.4,12630,1571
12095,"Orange County, Florida",527776,68153,72240,24435,13.7,455536,43718
12097,"Osceola County, Florida",142794,18253,24572,6508,17.2,118222,11745
12099,"Palm Beach County, Florida",605430,67525,60523,19904,10.0,544907,47621
12101,"Pasco County, Florida",236163,28280,25322,9382,10.7,210841,18898
12103,"Pinellas County, Florida",428473,49813,36876,14483,8.6,391597,35330
12105,"Polk County, Florida",289425,40943,42205,16426,14.6,247220,24517
12107,"Putnam County, Florida",31360,7371,7110,3703,22.7,24250,3668
12109,"St. Johns County, Florida",115794,8411,4890,1627,4.2,110904,6784
12111,"St. Lucie County, Florida",137453,16162,16751,5791,12.2,120702,10371
12113,"Santa Rosa County, Florida",72605,6318,7071,2078,9.7,65534,4240
12115,"Sarasota County, Florida",212204,18660,11108,3246,5.2,201096,15414
12117,"Seminole County, Florida",187248,16783,17186,4196,9.2,170062,12587
12119,"Sumter County, Florida",70318,5623,4027,2183,5.7,66291,3440
12121,"Suwannee County, Florida",16112,2551,2569,942,15.9,13543,1609
12123,"Taylor County, Florida",7976,1350,1351,537,16.9,6625,813
12125,"Union County, Florida",4316,838,726,337,16.8,3590,501
12127,"Volusia County, Florida",241881,28107,29057,10235,12.0,212824,17872
